control_id,title,confidentiality,integrity,availability,overlays,csf_categories,source_url
SR-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.BE-1, ID.GV-1, ID.GV-3, ID.SC-1",https://app.xylok.io/reference/controls/control/SR-1/
SR-2,Supply Chain Risk Management Plan,,,,"CMMC, DAF Baseline","ID.BE-4, ID.SC-1, ID.SC-2, ID.SC-3",https://app.xylok.io/reference/controls/control/SR-2/
SR-3,Supply Chain Controls and Processes,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C","ID.BE-1, ID.SC-1, ID.SC-2, ID.SC-3",https://app.xylok.io/reference/controls/control/SR-3/
SR-4,Provenance,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/SR-4/
SR-5,"Acquisition Strategies, Tools, and Methods",,,,"CMMC, DAF Baseline","ID.SC-1, ID.SC-2, ID.SC-3",https://app.xylok.io/reference/controls/control/SR-5/
SR-6,Supplier Assessments and Reviews,,,,"CMMC, DAF Baseline","ID.SC-2, RS.AN-5",https://app.xylok.io/reference/controls/control/SR-6/
SR-7,Supply Chain Operations Security,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/SR-7/
SR-8,Notification Agreements,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SR-8/
SR-9,Tamper Resistance and Detection,,,,DAF Baseline,DE.DP-2,https://app.xylok.io/reference/controls/control/SR-9/
SR-10,Inspection of Systems or Components,,,,DAF Baseline,DE.DP-2,https://app.xylok.io/reference/controls/control/SR-10/
SR-11,Component Authenticity,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SR-11/
SR-12,Component Disposal,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",PR.IP-6,https://app.xylok.io/reference/controls/control/SR-12/
